[13:23:57,823] INFO  {CodeInstrumentation} no user defined instrumentation exceptions detected
[00:00:02,000] INFO  {HostMngrComp} <nid:1>initiating...
[00:00:02,000] INFO  {HostMngrComp} <nid:1>starting...
[00:00:02,000] INFO  {AppComp} <nid:1>initiating...
[00:00:02,000] INFO  {AppComp} <nid:1>starting...
[00:00:03,065] INFO  {HostMngrComp} <nid:2>initiating...
[00:00:03,065] INFO  {HostMngrComp} <nid:2>starting...
[00:00:03,065] INFO  {AppComp} <nid:2>initiating...
[00:00:03,065] INFO  {AppComp} <nid:2>starting...
[00:00:04,000] WARN  {CroupierComp} <nid:1,oid:CROUPIER,o:01,bId:0> no partners - not shuffling
[00:00:04,160] INFO  {HostMngrComp} <nid:3>initiating...
[00:00:04,160] INFO  {HostMngrComp} <nid:3>starting...
[00:00:04,160] INFO  {AppComp} <nid:3>initiating...
[00:00:04,160] INFO  {AppComp} <nid:3>starting...
[00:00:05,065] WARN  {CroupierComp} <nid:2,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:05,246] INFO  {HostMngrComp} <nid:4>initiating...
[00:00:05,246] INFO  {HostMngrComp} <nid:4>starting...
[00:00:05,246] INFO  {AppComp} <nid:4>initiating...
[00:00:05,246] INFO  {AppComp} <nid:4>starting...
[00:00:06,000] INFO  {AppComp} <nid:2>received ping from:193.0.0.1:12345<1>
[00:00:06,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.2:12345<2>
[00:00:06,160] WARN  {CroupierComp} <nid:3,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:06,292] INFO  {HostMngrComp} <nid:5>initiating...
[00:00:06,292] INFO  {HostMngrComp} <nid:5>starting...
[00:00:06,292] INFO  {AppComp} <nid:5>initiating...
[00:00:06,292] INFO  {AppComp} <nid:5>starting...
[00:00:07,065] INFO  {AppComp} <nid:1>received ping from:193.0.0.2:12345<2>
[00:00:07,065] INFO  {AppComp} <nid:3>received ping from:193.0.0.2:12345<2>
[00:00:07,065] INFO  {AppComp} <nid:2>received pong from:193.0.0.1:12345<1>
[00:00:07,065] INFO  {AppComp} <nid:2>received pong from:193.0.0.3:12345<3>
[00:00:07,246] WARN  {CroupierComp} <nid:4,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:07,326] INFO  {HostMngrComp} <nid:6>initiating...
[00:00:07,326] INFO  {HostMngrComp} <nid:6>starting...
[00:00:07,326] INFO  {AppComp} <nid:6>initiating...
[00:00:07,326] INFO  {AppComp} <nid:6>starting...
[00:00:08,000] INFO  {AppComp} <nid:2>received ping from:193.0.0.1:12345<1>
[00:00:08,000] INFO  {AppComp} <nid:3>received ping from:193.0.0.1:12345<1>
[00:00:08,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.2:12345<2>
[00:00:08,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.3:12345<3>
[00:00:08,160] INFO  {AppComp} <nid:1>received ping from:193.0.0.3:12345<3>
[00:00:08,160] INFO  {AppComp} <nid:2>received ping from:193.0.0.3:12345<3>
[00:00:08,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.1:12345<1>
[00:00:08,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.2:12345<2>
[00:00:08,292] WARN  {CroupierComp} <nid:5,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:08,346] INFO  {HostMngrComp} <nid:7>initiating...
[00:00:08,346] INFO  {HostMngrComp} <nid:7>starting...
[00:00:08,346] INFO  {AppComp} <nid:7>initiating...
[00:00:08,346] INFO  {AppComp} <nid:7>starting...
[00:00:09,065] INFO  {AppComp} <nid:1>received ping from:193.0.0.2:12345<2>
[00:00:09,065] INFO  {AppComp} <nid:3>received ping from:193.0.0.2:12345<2>
[00:00:09,065] INFO  {AppComp} <nid:4>received ping from:193.0.0.2:12345<2>
[00:00:09,065] INFO  {AppComp} <nid:2>received pong from:193.0.0.1:12345<1>
[00:00:09,065] INFO  {AppComp} <nid:2>received pong from:193.0.0.3:12345<3>
[00:00:09,065] INFO  {AppComp} <nid:2>received pong from:193.0.0.4:12345<4>
[00:00:09,246] INFO  {AppComp} <nid:1>received ping from:193.0.0.4:12345<4>
[00:00:09,246] INFO  {AppComp} <nid:2>received ping from:193.0.0.4:12345<4>
[00:00:09,246] INFO  {AppComp} <nid:3>received ping from:193.0.0.4:12345<4>
[00:00:09,246] INFO  {AppComp} <nid:5>received ping from:193.0.0.4:12345<4>
[00:00:09,246] INFO  {AppComp} <nid:4>received pong from:193.0.0.1:12345<1>
[00:00:09,246] INFO  {AppComp} <nid:4>received pong from:193.0.0.2:12345<2>
[00:00:09,246] INFO  {AppComp} <nid:4>received pong from:193.0.0.3:12345<3>
[00:00:09,246] INFO  {AppComp} <nid:4>received pong from:193.0.0.5:12345<5>
[00:00:09,326] WARN  {CroupierComp} <nid:6,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:09,381] INFO  {HostMngrComp} <nid:8>initiating...
[00:00:09,381] INFO  {HostMngrComp} <nid:8>starting...
[00:00:09,381] INFO  {AppComp} <nid:8>initiating...
[00:00:09,381] INFO  {AppComp} <nid:8>starting...
[00:00:10,000] INFO  {AppComp} <nid:2>received ping from:193.0.0.1:12345<1>
[00:00:10,000] INFO  {AppComp} <nid:3>received ping from:193.0.0.1:12345<1>
[00:00:10,000] INFO  {AppComp} <nid:4>received ping from:193.0.0.1:12345<1>
[00:00:10,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.2:12345<2>
[00:00:10,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.3:12345<3>
[00:00:10,000] INFO  {AppComp} <nid:1>received pong from:193.0.0.4:12345<4>
[00:00:10,160] INFO  {AppComp} <nid:1>received ping from:193.0.0.3:12345<3>
[00:00:10,160] INFO  {AppComp} <nid:2>received ping from:193.0.0.3:12345<3>
[00:00:10,160] INFO  {AppComp} <nid:4>received ping from:193.0.0.3:12345<3>
[00:00:10,160] INFO  {AppComp} <nid:5>received ping from:193.0.0.3:12345<3>
[00:00:10,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.1:12345<1>
[00:00:10,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.2:12345<2>
[00:00:10,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.4:12345<4>
[00:00:10,160] INFO  {AppComp} <nid:3>received pong from:193.0.0.5:12345<5>
[00:00:10,292] INFO  {AppComp} <nid:1>received ping from:193.0.0.5:12345<5>
[00:00:10,292] INFO  {AppComp} <nid:2>received ping from:193.0.0.5:12345<5>
[00:00:10,292] INFO  {AppComp} <nid:3>received ping from:193.0.0.5:12345<5>
[00:00:10,292] INFO  {AppComp} <nid:4>received ping from:193.0.0.5:12345<5>
[00:00:10,292] INFO  {AppComp} <nid:5>received pong from:193.0.0.1:12345<1>
[00:00:10,292] INFO  {AppComp} <nid:5>received pong from:193.0.0.2:12345<2>
[00:00:10,292] INFO  {AppComp} <nid:5>received pong from:193.0.0.3:12345<3>
[00:00:10,292] INFO  {AppComp} <nid:5>received pong from:193.0.0.4:12345<4>
[00:00:10,346] WARN  {CroupierComp} <nid:7,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:10,443] INFO  {HostMngrComp} <nid:9>initiating...
[00:00:10,443] INFO  {HostMngrComp} <nid:9>starting...
[00:00:10,443] INFO  {AppComp} <nid:9>initiating...
[00:00:10,443] INFO  {AppComp} <nid:9>starting...
[00:00:11,065] INFO  {AppComp} <nid:1>received ping from:193.0.0.2:12345<2>
[00:00:11,065] INFO  {AppComp} <nid:3>received ping from:193.0.0.2:12345<2>
